iter,u_fl,u_bd,u_in,div_fl,div_bd,div_in,p_fl,p_bd,p_in,nin,nbd
160,1.424983e-01,1.386801e-01,9.671668e-02,1.126366e+00,1.095401e+02,2.665334e+01,1.163669e+01,1.374162e+01,3.208466e+00,4973,5518
161,1.443972e-01,1.437659e-01,9.515409e-02,1.025177e+00,1.094411e+02,3.389540e+01,1.132271e+01,1.332885e+01,3.065032e+00,4962,5560
162,1.446214e-01,1.397996e-01,1.006619e-01,7.608337e-01,9.972417e+01,3.378033e+01,1.112510e+01,1.325480e+01,3.106082e+00,4977,5483
163,1.448876e-01,1.409708e-01,9.882765e-02,7.263336e-01,1.040244e+02,3.373628e+01,1.036518e+01,1.190082e+01,2.812291e+00,4993,5505
164,1.459094e-01,1.390397e-01,8.969379e-02,1.198195e+00,1.065123e+02,3.366610e+01,9.993788e+00,1.186988e+01,3.126885e+00,4971,5534
165,1.462868e-01,1.379684e-01,9.492248e-02,1.251244e+00,1.056655e+02,3.330480e+01,9.499503e+00,1.069940e+01,2.613475e+00,4957,5546
166,1.465293e-01,1.397742e-01,9.389447e-02,1.210268e+00,9.208946e+01,2.642346e+01,9.423117e+00,1.042887e+01,3.090726e+00,4967,5541
167,1.465089e-01,1.379167e-01,9.250323e-02,9.410582e-01,8.396831e+01,2.632079e+01,9.095938e+00,9.478289e+00,3.246974e+00,4977,5554
168,1.472990e-01,1.405724e-01,8.504965e-02,5.416374e-01,7.722080e+01,3.681462e+01,8.966336e+00,9.158986e+00,3.027533e+00,4959,5576
169,1.472668e-01,1.434794e-01,8.554264e-02,7.402973e-01,7.888060e+01,3.504217e+01,8.770435e+00,8.682304e+00,3.423103e+00,4992,5522
170,1.466621e-01,1.389035e-01,8.919726e-02,4.432945e-01,8.247514e+01,3.325462e+01,8.708080e+00,8.359298e+00,3.455382e+00,4996,5509
